Section,Element,Category,Property,Value
"Variant 2","Variant 2","Colors","Color","#ffffff"
"Variant 2","Landing page [Mobile]","Colors","Color","#080e12"
"Variant 2","device","Colors","Color","#080e12"
"Variant 2","Status bar","Colors","Color","#3c3c3c"
"Variant 2","Time","Colors","Color","#ffffff"
"Variant 2","Status/mini","Colors","Color","#ffffff"
"Variant 2","Battery/mini","Colors","Color","#ffffff"
"Variant 2","Cap","Colors","Color","#ffffff"
"Variant 2","Capacity","Colors","Color","#ffffff"
"Variant 2","Wifi","Colors","Color","#ffffff"
"Variant 2","Wifi-path","Colors","Color","#ffffff"
"Variant 2","Cellular","Colors","Color","#ffffff"
"Variant 2","Cellular_Connection-path","Colors","Color","#ffffff"
"Variant 2","hero","Colors","Color","#080e12"
"Variant 2","FWC-26-logo","Colors","Color","#ffffff"
"Variant 2","Vector","Colors","Color","#ffffff"
"Variant 2",".hero-label","Colors","Color","#dddedf"
"Variant 2","11 jun - 19 jul 2026","Colors","Color","#080e12"
"Variant 2","Title","Colors","Color","#f9fafa"
"Variant 2","Main Event","Colors","Color","#f9fafa"
"Variant 2","Text","Colors","Color","#080e12"
"Variant 2","The O2, London","Colors","Color","#b3b9bb"
"Variant 2","9:00 PM GMT","Colors","Color","#f9fafa"
"Variant 2","desc","Colors","Color","#b3b9bb"
"Variant 2","mobile/button","Colors","Color","#f9fafa"
"Variant 2","icon","Colors","Color","#f9fafa"
"Variant 2","divider","Colors","Color","#ffffff"
"Variant 2","Seperator Text","Colors","Color","#ffffff"
"Variant 2","or","Colors","Color","#f9fafa"
"Variant 2","icon-slot","Colors","Color","#ffffff"
"Variant 2","desktop/button","Colors","Color","#ffffff"
"Variant 2","header-mobile","Colors","Color","#080e12"
"Variant 2","dazn vector","Colors","Color","#f9fafa"
"Variant 2","navbar icons","Colors","Color","#ffffff"
"Variant 2","✏️ Title","Colors","Color","#f9fafa"
"Variant 2","time","Colors","Color","#b3b9bb"
"Variant 2","Players/Desktop-Small+Regular","Colors","Color","#1b2326"
"Variant 2","desktop/label","Colors","Color","#f9fafa"
"Variant 2","future","Colors","Color","#080e12"
"Variant 2","Wardley vs. Dubois","Colors","Color","#f9fafa"
"Variant 2","Wembley Arena, London","Colors","Color","#b3b9bb"
"Variant 2","Brown vs. Ducar","Colors","Color","#f9fafa"
"Variant 2","Collins vs. Lorente 2","Colors","Color","#f9fafa"
"Variant 2","AO Arena, Manchester","Colors","Color","#b3b9bb"
"Variant 2","Smith vs. Morrell","Colors","Color","#f9fafa"
"Variant 2","Co-op Live Arena, Manchester","Colors","Color","#b3b9bb"
"Variant 2","Yoka vs. Okolie","Colors","Color","#f9fafa"
"Variant 2","Kingdom Arena, Riyadh","Colors","Color","#b3b9bb"
"Variant 2",".container","Colors","Color","#080e12"
"Variant 2","chevron-left-large","Colors","Color","#ffffff"
"Variant 2","title","Colors","Color","#f9fafa"
"Variant 2","action-check-circle","Colors","Color","#ffffff"
"Variant 2","Best Value Icon","Colors","Color","#080e12"
"Variant 2","Save £179.89 ","Colors","Color","#080e12"
"Variant 2","Header","Colors","Color","#f9fafa"
"Variant 2","12-month minimum term","Colors","Color","#b3b9bb"
"Variant 2","settings-gift","Colors","Color","#ffffff"
"Variant 2","[Price]","Colors","Color","#f9fafa"
"Variant 2","discount","Colors","Color","#ffffff"
"Variant 2","Body copy","Colors","Color","#f9fafa"
"Variant 2","21 Feb at 6:00 PM","Colors","Color","#6d7377"
"Variant 2","Union","Colors","Color","#f9fafa"
"Variant 2","✏️ Body","Colors","Color","#b3b9bb"
"Variant 2","interface-video","Colors","Color","#ffffff"
"Variant 2","devices-device switch","Colors","Color","#ffffff"
"Variant 2","download","Colors","Color","#ffffff"
"Variant 2","Whats included","Colors","Color","#0c161c"
"Variant 2","chevron-left-medium","Colors","Color","#ffffff"
"Variant 2","Frame 2147227809","Colors","Color","#000000"
"Variant 2","Content","Colors","Color","#ffffff"
"Variant 2","content","Colors","Color","#b3b9bb"
"Variant 2","Multiview - up to 4 games, one screen","Colors","Color","#f9fafa"
"Variant 2","text","Colors","Color","#b3b9bb"
"Variant 2","Frame 2147227890","Colors","Color","#000000"
"Variant 2","Frame 2147227892","Colors","Color","#000000"
"Variant 2","Frame 2147227891","Colors","Color","#000000"
"Variant 2","dolby-sound","Colors","Color","#ffffff"
"Variant 2","Frame 2147227893","Colors","Color","#000000"
"Variant 2","action-more-video","Colors","Color","#ffffff"
"Variant 2","Frame","Colors","Color","#ffffff"
"Variant 2","heading","Colors","Color","#f9fafa"
"Variant 2","Rectangle 34647028","Colors","Color","#000000"
"Variant 2","Image Area","Colors","Color","#d9d9d9"
"Variant 2","Discount","Colors","Color","#b3b9bb"
"Variant 2","Frame 2147227442","Colors","Color","#22342d"
"Variant 2","Logo","Colors","Color","#ffffff"
"Variant 2","Highlight","Colors","Color","#0c161c"
"Variant 2","Ellipse 2086","Colors","Color","#f2de6b"
"Variant 2","Promo title","Colors","Color","#ffffff"
"Variant 2","£00.00","Colors","Color","#f9fafa"
"Variant 2","/month","Colors","Color","#b3b9bb"
"Variant 2","toggle","Colors","Color","#3d4549"
"Variant 2","knob","Colors","Color","#f9fafa"
"Variant 2","check","Colors","Color","#ffffff"
"Variant 2","Heading","Colors","Color","#f9fafa"
"Variant 2","highlights","Colors","Color","#ffffff"
"Variant 2","navigation-highlights","Colors","Color","#ffffff"
"Variant 2","Star 4","Colors","Color","#f9fafa"
"Variant 2","settings-home location","Colors","Color","#ffffff"
"Variant 2","teams","Colors","Color","#ffffff"
"Variant 2","Frame 2147224913","Colors","Color","#242d33"
"Variant 2","sports-boxing","Colors","Color","#ffffff"
"Variant 2","Promoters","Colors","Color","#f9fafa"
"Variant 2","Downloads","Colors","Color","#f9fafa"
"Variant 2","devices-device-switch-v1","Colors","Color","#ffffff"
"Variant 2","Live Streaming","Colors","Color","#f9fafa"
"Variant 2","sports-football","Colors","Color","#ffffff"
"Variant 2","Football","Colors","Color","#f9fafa"
"Variant 2","Pricing Section","Colors","Color","#080e12"
"Variant 2","Watch on your favourite devices. anytime, anywhere.","Colors","Color","#f9fafa"
"Variant 2","Catch up on the latest and greatest","Colors","Color","#ced0d2"
"Variant 2","logo","Colors","Color","#242d33"
"Variant 2","Layer_1","Colors","Color","#ffffff"
"Variant 2","svg2985","Colors","Color","#ffffff"
"Variant 2","path3023","Colors","Color","#ffffff"
"Variant 2","path3027","Colors","Color","#ffffff"
"Variant 2","path3031","Colors","Color","#ffffff"
"Variant 2","light","Colors","Color","#ffffff"
"Variant 2","svg8","Colors","Color","#ffffff"
"Variant 2","rect840","Colors","Color","#ffffff"
"Variant 2","path916","Colors","Color","#ffffff"
"Variant 2","path929","Colors","Color","#ffffff"
"Variant 2","path72","Colors","Color","#ffffff"
"Variant 2","path76","Colors","Color","#ffffff"
"Variant 2","path80","Colors","Color","#ffffff"
"Variant 2","Content Block","Colors","Color","#080e12"
"Variant 2","Hero title","Colors","Color","#f9fafa"
"Variant 2","Rectangle 34646436","Colors","Color","#edf3f5"
"Variant 2","Marketing rail","Colors","Color","#0c161c"
"Variant 2","FAQ-01","Colors","Color","#242d33"
"Variant 2","What is FIFA Club World Cup?","Colors","Color","#f9fafa"
"Variant 2","What other sports can I watch on DAZN","Colors","Color","#f9fafa"
"Variant 2","How to watch FIFA Club World Cup?","Colors","Color","#f9fafa"
"Variant 2","Where can I watch?","Colors","Color","#f9fafa"
"Variant 2","How to sign up?","Colors","Color","#f9fafa"
"Variant 2","Footers","Colors","Color","#080e12"
"Variant 2","español","Colors","Color","#f9fafa"
"Variant 2","Français","Colors","Color","#f9fafa"
"Variant 2","Help","Colors","Color","#f9fafa"
"Variant 2","privacy policy and cookie notice","Colors","Color","#f9fafa"
"Variant 2","Terms of use","Colors","Color","#f9fafa"
"Variant 2","Redeem","Colors","Color","#f9fafa"
"Variant 2","Dazn for business","Colors","Color","#f9fafa"
"Variant 2","DAZNTM","Colors","Color","#f9fafa"
"Variant 2","Time","Typography","content","9:41"
"Variant 2","Time","Typography","fontFamily","SF Pro Text"
"Variant 2","Time","Typography","fontSize","15px"
"Variant 2","Time","Typography","fontWeight","600"
"Variant 2","Time","Typography","lineHeight","17.900390625px"
"Variant 2","Time","Typography","letterSpacing","-0.2800000011920929"
"Variant 2","Time","Typography","textAlign","CENTER"
"Variant 2","Time","Typography","color","#ffffff"
"Variant 2","11 jun - 19 jul 2026","Typography","content","Sat 9th May"
"Variant 2","11 jun - 19 jul 2026","Typography","fontFamily","DAZN Oscine"
"Variant 2","11 jun - 19 jul 2026","Typography","fontSize","14px"
"Variant 2","11 jun - 19 jul 2026","Typography","fontWeight","700"
"Variant 2","11 jun - 19 jul 2026","Typography","lineHeight","18.031999588012695px"
"Variant 2","11 jun - 19 jul 2026","Typography","letterSpacing","0"
"Variant 2","11 jun - 19 jul 2026","Typography","textAlign","LEFT"
"Variant 2","11 jun - 19 jul 2026","Typography","color","#080e12"
"Variant 2","Title","Typography","content","Wardley vs. Dubois"
"Variant 2","Title","Typography","fontFamily","DAZN Oscine"
"Variant 2","Title","Typography","fontSize","32px"
"Variant 2","Title","Typography","fontWeight","700"
"Variant 2","Title","Typography","lineHeight","40px"
"Variant 2","Title","Typography","letterSpacing","0"
"Variant 2","Title","Typography","textAlign","CENTER"
"Variant 2","Title","Typography","color","#f9fafa"
"Variant 2","Main Event","Typography","content","Main Event"
"Variant 2","Main Event","Typography","fontFamily","DAZN Oscine"
"Variant 2","Main Event","Typography","fontSize","14px"
"Variant 2","Main Event","Typography","fontWeight","700"
"Variant 2","Main Event","Typography","lineHeight","18.031999588012695px"
"Variant 2","Main Event","Typography","letterSpacing","0"
"Variant 2","Main Event","Typography","textAlign","LEFT"
"Variant 2","Main Event","Typography","color","#f9fafa"
"Variant 2","The O2, London","Typography","content","The O2, London"
"Variant 2","The O2, London","Typography","fontFamily","DAZN Oscine"
"Variant 2","The O2, London","Typography","fontSize","12px"
"Variant 2","The O2, London","Typography","fontWeight","400"
"Variant 2","The O2, London","Typography","lineHeight","15.455999374389648px"
"Variant 2","The O2, London","Typography","letterSpacing","0.12"
"Variant 2","The O2, London","Typography","textAlign","CENTER"
"Variant 2","The O2, London","Typography","color","#b3b9bb"
"Variant 2","9:00 PM GMT","Typography","content","9:00 PM GMT"
"Variant 2","9:00 PM GMT","Typography","fontFamily","DAZN Oscine"
"Variant 2","9:00 PM GMT","Typography","fontSize","14px"
"Variant 2","9:00 PM GMT","Typography","fontWeight","700"
"Variant 2","9:00 PM GMT","Typography","lineHeight","18.031999588012695px"
"Variant 2","9:00 PM GMT","Typography","letterSpacing","0"
"Variant 2","9:00 PM GMT","Typography","textAlign","LEFT"
"Variant 2","9:00 PM GMT","Typography","color","#f9fafa"
"Variant 2","desc","Typography","content","FIFA World Cup 2026 live and on demand throughout the tournament. Includes full match coverage, highlights, and additional content."
"Variant 2","desc","Typography","fontFamily","DAZN Oscine"
"Variant 2","desc","Typography","fontSize","12px"
"Variant 2","desc","Typography","fontWeight","400"
"Variant 2","desc","Typography","lineHeight","15.455999374389648px"
"Variant 2","desc","Typography","letterSpacing","0.12"
"Variant 2","desc","Typography","textAlign","CENTER"
"Variant 2","desc","Typography","color","#b3b9bb"
"Variant 2","Text","Typography","content","Get Started"
"Variant 2","Text","Typography","fontFamily","DAZN Oscine"
"Variant 2","Text","Typography","fontSize","16px"
"Variant 2","Text","Typography","fontWeight","700"
"Variant 2","Text","Typography","lineHeight","24.799999237060547px"
"Variant 2","Text","Typography","letterSpacing","0"
"Variant 2","Text","Typography","textAlign","LEFT"
"Variant 2","Text","Typography","color","#080e12"
"Variant 2","or","Typography","content","or"
"Variant 2","or","Typography","fontFamily","DAZN Oscine"
"Variant 2","or","Typography","fontSize","16px"
"Variant 2","or","Typography","fontWeight","700"
"Variant 2","or","Typography","lineHeight","20.607999801635742px"
"Variant 2","or","Typography","letterSpacing","0"
"Variant 2","or","Typography","textAlign","CENTER"
"Variant 2","or","Typography","color","#f9fafa"
"Variant 2","Body copy","Typography","content","Included"
"Variant 2","Body copy","Typography","fontFamily","DAZN Oscine"
"Variant 2","Body copy","Typography","fontSize","12px"
"Variant 2","Body copy","Typography","fontWeight","400"
"Variant 2","Body copy","Typography","lineHeight","18.239999771118164px"
"Variant 2","Body copy","Typography","letterSpacing","0"
"Variant 2","Body copy","Typography","textAlign","LEFT"
"Variant 2","Body copy","Typography","color",""
"Variant 2","✏️ Title","Typography","content","Introducing DAZN Ultimate"
"Variant 2","✏️ Title","Typography","fontFamily","DAZN Oscine"
"Variant 2","✏️ Title","Typography","fontSize","24px"
"Variant 2","✏️ Title","Typography","fontWeight","700"
"Variant 2","✏️ Title","Typography","lineHeight","31.68000030517578px"
"Variant 2","✏️ Title","Typography","letterSpacing","0"
"Variant 2","✏️ Title","Typography","textAlign","CENTER"
"Variant 2","✏️ Title","Typography","color","#f9fafa"
"Variant 2","time","Typography","content","Pre-made combinations — grab a bundle and save."
"Variant 2","time","Typography","fontFamily","DAZN Oscine"
"Variant 2","time","Typography","fontSize","16px"
"Variant 2","time","Typography","fontWeight","400"
"Variant 2","time","Typography","lineHeight","24.799999237060547px"
"Variant 2","time","Typography","letterSpacing","0"
"Variant 2","time","Typography","textAlign","CENTER"
"Variant 2","time","Typography","color","#b3b9bb"
"Variant 2","future","Typography","content","Apr 25"
"Variant 2","future","Typography","fontFamily","DAZN Oscine"
"Variant 2","future","Typography","fontSize","14px"
"Variant 2","future","Typography","fontWeight","700"
"Variant 2","future","Typography","lineHeight","18.031999588012695px"
"Variant 2","future","Typography","letterSpacing","0"
"Variant 2","future","Typography","textAlign","CENTER"
"Variant 2","future","Typography","color","#080e12"
"Variant 2","Wardley vs. Dubois","Typography","content","Wardley vs. Dubois"
"Variant 2","Wardley vs. Dubois","Typography","fontFamily","DAZN Oscine"
"Variant 2","Wardley vs. Dubois","Typography","fontSize","18px"
"Variant 2","Wardley vs. Dubois","Typography","fontWeight","700"
"Variant 2","Wardley vs. Dubois","Typography","lineHeight","24.84000015258789px"
"Variant 2","Wardley vs. Dubois","Typography","letterSpacing","0"
"Variant 2","Wardley vs. Dubois","Typography","textAlign","CENTER"
"Variant 2","Wardley vs. Dubois","Typography","color","#f9fafa"
"Variant 2","Wembley Arena, London","Typography","content","Wembley Arena, London"
"Variant 2","Wembley Arena, London","Typography","fontFamily","DAZN Oscine"
"Variant 2","Wembley Arena, London","Typography","fontSize","12px"
"Variant 2","Wembley Arena, London","Typography","fontWeight","400"
"Variant 2","Wembley Arena, London","Typography","lineHeight","15.455999374389648px"
"Variant 2","Wembley Arena, London","Typography","letterSpacing","0.12"
"Variant 2","Wembley Arena, London","Typography","textAlign","CENTER"
"Variant 2","Wembley Arena, London","Typography","color","#b3b9bb"
"Variant 2","Brown vs. Ducar","Typography","content","Brown vs. Ducar"
"Variant 2","Brown vs. Ducar","Typography","fontFamily","DAZN Oscine"
"Variant 2","Brown vs. Ducar","Typography","fontSize","18px"
"Variant 2","Brown vs. Ducar","Typography","fontWeight","700"
"Variant 2","Brown vs. Ducar","Typography","lineHeight","24.84000015258789px"
"Variant 2","Brown vs. Ducar","Typography","letterSpacing","0"
"Variant 2","Brown vs. Ducar","Typography","textAlign","CENTER"
"Variant 2","Brown vs. Ducar","Typography","color","#f9fafa"
"Variant 2","Collins vs. Lorente 2","Typography","content","Collins vs. Lorente 2"
"Variant 2","Collins vs. Lorente 2","Typography","fontFamily","DAZN Oscine"
"Variant 2","Collins vs. Lorente 2","Typography","fontSize","18px"
"Variant 2","Collins vs. Lorente 2","Typography","fontWeight","700"
"Variant 2","Collins vs. Lorente 2","Typography","lineHeight","24.84000015258789px"
"Variant 2","Collins vs. Lorente 2","Typography","letterSpacing","0"
"Variant 2","Collins vs. Lorente 2","Typography","textAlign","CENTER"
"Variant 2","Collins vs. Lorente 2","Typography","color","#f9fafa"
"Variant 2","AO Arena, Manchester","Typography","content","AO Arena, Manchester"
"Variant 2","AO Arena, Manchester","Typography","fontFamily","DAZN Oscine"
"Variant 2","AO Arena, Manchester","Typography","fontSize","12px"
"Variant 2","AO Arena, Manchester","Typography","fontWeight","400"
"Variant 2","AO Arena, Manchester","Typography","lineHeight","15.455999374389648px"
"Variant 2","AO Arena, Manchester","Typography","letterSpacing","0.12"
"Variant 2","AO Arena, Manchester","Typography","textAlign","CENTER"
"Variant 2","AO Arena, Manchester","Typography","color","#b3b9bb"
"Variant 2","Smith vs. Morrell","Typography","content","Smith vs. Morrell"
"Variant 2","Smith vs. Morrell","Typography","fontFamily","DAZN Oscine"
"Variant 2","Smith vs. Morrell","Typography","fontSize","18px"
"Variant 2","Smith vs. Morrell","Typography","fontWeight","700"
"Variant 2","Smith vs. Morrell","Typography","lineHeight","24.84000015258789px"
"Variant 2","Smith vs. Morrell","Typography","letterSpacing","0"
"Variant 2","Smith vs. Morrell","Typography","textAlign","CENTER"
"Variant 2","Smith vs. Morrell","Typography","color","#f9fafa"
"Variant 2","Co-op Live Arena, Manchester","Typography","content","Co-op Live Arena, Manchester"
"Variant 2","Co-op Live Arena, Manchester","Typography","fontFamily","DAZN Oscine"
"Variant 2","Co-op Live Arena, Manchester","Typography","fontSize","12px"
"Variant 2","Co-op Live Arena, Manchester","Typography","fontWeight","400"
"Variant 2","Co-op Live Arena, Manchester","Typography","lineHeight","15.455999374389648px"
"Variant 2","Co-op Live Arena, Manchester","Typography","letterSpacing","0.12"
"Variant 2","Co-op Live Arena, Manchester","Typography","textAlign","CENTER"
"Variant 2","Co-op Live Arena, Manchester","Typography","color","#b3b9bb"
"Variant 2","Yoka vs. Okolie","Typography","content","Yoka vs. Okolie"
"Variant 2","Yoka vs. Okolie","Typography","fontFamily","DAZN Oscine"
"Variant 2","Yoka vs. Okolie","Typography","fontSize","18px"
"Variant 2","Yoka vs. Okolie","Typography","fontWeight","700"
"Variant 2","Yoka vs. Okolie","Typography","lineHeight","24.84000015258789px"
"Variant 2","Yoka vs. Okolie","Typography","letterSpacing","0"
"Variant 2","Yoka vs. Okolie","Typography","textAlign","CENTER"
"Variant 2","Yoka vs. Okolie","Typography","color","#f9fafa"
"Variant 2","Kingdom Arena, Riyadh","Typography","content","Kingdom Arena, Riyadh"
"Variant 2","Kingdom Arena, Riyadh","Typography","fontFamily","DAZN Oscine"
"Variant 2","Kingdom Arena, Riyadh","Typography","fontSize","12px"
"Variant 2","Kingdom Arena, Riyadh","Typography","fontWeight","400"
"Variant 2","Kingdom Arena, Riyadh","Typography","lineHeight","15.455999374389648px"
"Variant 2","Kingdom Arena, Riyadh","Typography","letterSpacing","0.12"
"Variant 2","Kingdom Arena, Riyadh","Typography","textAlign","CENTER"
"Variant 2","Kingdom Arena, Riyadh","Typography","color","#b3b9bb"
"Variant 2","title","Typography","content","Choose your subscription"
"Variant 2","title","Typography","fontFamily","DAZN Oscine"
"Variant 2","title","Typography","fontSize","16px"
"Variant 2","title","Typography","fontWeight","700"
"Variant 2","title","Typography","lineHeight","24.799999237060547px"
"Variant 2","title","Typography","letterSpacing","0"
"Variant 2","title","Typography","textAlign","CENTER"
"Variant 2","title","Typography","color","#f9fafa"
"Variant 2","Save £179.89 ","Typography","content","BEST SELLER"
"Variant 2","Save £179.89 ","Typography","fontFamily","DAZN Oscine"
"Variant 2","Save £179.89 ","Typography","fontSize","12px"
"Variant 2","Save £179.89 ","Typography","fontWeight","700"
"Variant 2","Save £179.89 ","Typography","lineHeight","16px"
"Variant 2","Save £179.89 ","Typography","letterSpacing","0"
"Variant 2","Save £179.89 ","Typography","textAlign","CENTER"
"Variant 2","Save £179.89 ","Typography","color","#080e12"
"Variant 2","Header","Typography","content","All features & content"
"Variant 2","Header","Typography","fontFamily","DAZN Oscine"
"Variant 2","Header","Typography","fontSize","14px"
"Variant 2","Header","Typography","fontWeight","700"
"Variant 2","Header","Typography","lineHeight","21px"
"Variant 2","Header","Typography","letterSpacing","0"
"Variant 2","Header","Typography","textAlign","LEFT"
"Variant 2","Header","Typography","color","#f9fafa"
"Variant 2","12-month minimum term","Typography","content","3-fight bundle"
"Variant 2","12-month minimum term","Typography","fontFamily","DAZN Oscine"
"Variant 2","12-month minimum term","Typography","fontSize","14px"
"Variant 2","12-month minimum term","Typography","fontWeight","400"
"Variant 2","12-month minimum term","Typography","lineHeight","21px"
"Variant 2","12-month minimum term","Typography","letterSpacing","0"
"Variant 2","12-month minimum term","Typography","textAlign","LEFT"
"Variant 2","12-month minimum term","Typography","color","#b3b9bb"
"Variant 2","[Price]","Typography","content","$229.47"
"Variant 2","[Price]","Typography","fontFamily","DAZN Oscine"
"Variant 2","[Price]","Typography","fontSize","18px"
"Variant 2","[Price]","Typography","fontWeight","700"
"Variant 2","[Price]","Typography","lineHeight","24.84000015258789px"
"Variant 2","[Price]","Typography","letterSpacing","0"
"Variant 2","[Price]","Typography","textAlign","LEFT"
"Variant 2","[Price]","Typography","color","#f9fafa"
"Variant 2","21 Feb at 6:00 PM","Typography","content","21 Feb at 6:00 PM"
"Variant 2","21 Feb at 6:00 PM","Typography","fontFamily","DAZN Oscine"
"Variant 2","21 Feb at 6:00 PM","Typography","fontSize","12px"
"Variant 2","21 Feb at 6:00 PM","Typography","fontWeight","400"
"Variant 2","21 Feb at 6:00 PM","Typography","lineHeight","15.455999374389648px"
"Variant 2","21 Feb at 6:00 PM","Typography","letterSpacing","0.12"
"Variant 2","21 Feb at 6:00 PM","Typography","textAlign","LEFT"
"Variant 2","21 Feb at 6:00 PM","Typography","color","#6d7377"
"Variant 2","✏️ Body","Typography","content","Giants Documentary and others"
"Variant 2","✏️ Body","Typography","fontFamily","DAZN Oscine"
"Variant 2","✏️ Body","Typography","fontSize","14px"
"Variant 2","✏️ Body","Typography","fontWeight","400"
"Variant 2","✏️ Body","Typography","lineHeight","21px"
"Variant 2","✏️ Body","Typography","letterSpacing","0"
"Variant 2","✏️ Body","Typography","textAlign","LEFT"
"Variant 2","✏️ Body","Typography","color","#b3b9bb"
"Variant 2","Multiview - up to 4 games, one screen","Typography","content","185+"
"Variant 2","Multiview - up to 4 games, one screen","Typography","fontFamily","DAZN Oscine"
"Variant 2","Multiview - up to 4 games, one screen","Typography","fontSize","64px"
"Variant 2","Multiview - up to 4 games, one screen","Typography","fontWeight","700"
"Variant 2","Multiview - up to 4 games, one screen","Typography","lineHeight","76.80000305175781px"
"Variant 2","Multiview - up to 4 games, one screen","Typography","letterSpacing","0"
"Variant 2","Multiview - up to 4 games, one screen","Typography","textAlign","LEFT"
"Variant 2","Multiview - up to 4 games, one screen","Typography","color","#f9fafa"
"Variant 2","text","Typography","content","Join DAZN Ultimate and enjoy pay-per-views at no extra cost"
"Variant 2","text","Typography","fontFamily","DAZN Oscine"
"Variant 2","text","Typography","fontSize","16px"
"Variant 2","text","Typography","fontWeight","400"
"Variant 2","text","Typography","lineHeight","24.799999237060547px"
"Variant 2","text","Typography","letterSpacing","0"
"Variant 2","text","Typography","textAlign","CENTER"
"Variant 2","text","Typography","color","#b3b9bb"
"Variant 2","heading","Typography","content","Choose a plan that's right for you"
"Variant 2","heading","Typography","fontFamily","DAZN Oscine"
"Variant 2","heading","Typography","fontSize","24px"
"Variant 2","heading","Typography","fontWeight","700"
"Variant 2","heading","Typography","lineHeight","31.68000030517578px"
"Variant 2","heading","Typography","letterSpacing","0"
"Variant 2","heading","Typography","textAlign","LEFT"
"Variant 2","heading","Typography","color","#f9fafa"
"Variant 2","content","Typography","content","Watch J-League, Japan Professional Baseball (limited games), B League, League "
"Variant 2","content","Typography","fontFamily","DAZN Oscine"
"Variant 2","content","Typography","fontSize","14px"
"Variant 2","content","Typography","fontWeight","400"
"Variant 2","content","Typography","lineHeight","21px"
"Variant 2","content","Typography","letterSpacing","0"
"Variant 2","content","Typography","textAlign","LEFT"
"Variant 2","content","Typography","color","#b3b9bb"
"Variant 2","Discount","Typography","content","Annual contract. Auto renews."
"Variant 2","Discount","Typography","fontFamily","DAZN Oscine"
"Variant 2","Discount","Typography","fontSize","12px"
"Variant 2","Discount","Typography","fontWeight","400"
"Variant 2","Discount","Typography","lineHeight","15.455999374389648px"
"Variant 2","Discount","Typography","letterSpacing","0.12"
"Variant 2","Discount","Typography","textAlign","LEFT"
"Variant 2","Discount","Typography","color","#b3b9bb"
"Variant 2","Promo title","Typography","content","FIFA WC 26 Add-on"
"Variant 2","Promo title","Typography","fontFamily","DAZN Oscine"
"Variant 2","Promo title","Typography","fontSize","16px"
"Variant 2","Promo title","Typography","fontWeight","700"
"Variant 2","Promo title","Typography","lineHeight","20.607999801635742px"
"Variant 2","Promo title","Typography","letterSpacing","0"
"Variant 2","Promo title","Typography","textAlign","LEFT"
"Variant 2","Promo title","Typography","color","#ffffff"
"Variant 2","£00.00","Typography","content","¥ 1,500"
"Variant 2","£00.00","Typography","fontFamily","DAZN Oscine"
"Variant 2","£00.00","Typography","fontSize","14px"
"Variant 2","£00.00","Typography","fontWeight","700"
"Variant 2","£00.00","Typography","lineHeight","21px"
"Variant 2","£00.00","Typography","letterSpacing","0"
"Variant 2","£00.00","Typography","textAlign","LEFT"
"Variant 2","£00.00","Typography","color","#f9fafa"
"Variant 2","/month","Typography","content","/ one time fee"
"Variant 2","/month","Typography","fontFamily","DAZN Oscine"
"Variant 2","/month","Typography","fontSize","14px"
"Variant 2","/month","Typography","fontWeight","400"
"Variant 2","/month","Typography","lineHeight","21px"
"Variant 2","/month","Typography","letterSpacing","0"
"Variant 2","/month","Typography","textAlign","LEFT"
"Variant 2","/month","Typography","color","#b3b9bb"
"Variant 2","Heading","Typography","content","Stay in the loop with all your favourites"
"Variant 2","Heading","Typography","fontFamily","DAZN Oscine"
"Variant 2","Heading","Typography","fontSize","16px"
"Variant 2","Heading","Typography","fontWeight","700"
"Variant 2","Heading","Typography","lineHeight","24.799999237060547px"
"Variant 2","Heading","Typography","letterSpacing","0"
"Variant 2","Heading","Typography","textAlign","LEFT"
"Variant 2","Heading","Typography","color","#f9fafa"
"Variant 2","Promoters","Typography","content","Promoters"
"Variant 2","Promoters","Typography","fontFamily","DAZN Oscine"
"Variant 2","Promoters","Typography","fontSize","12px"
"Variant 2","Promoters","Typography","fontWeight","700"
"Variant 2","Promoters","Typography","lineHeight","15.455999374389648px"
"Variant 2","Promoters","Typography","letterSpacing","0.12"
"Variant 2","Promoters","Typography","textAlign","LEFT"
"Variant 2","Promoters","Typography","color","#f9fafa"
"Variant 2","Downloads","Typography","content","Downloads"
"Variant 2","Downloads","Typography","fontFamily","DAZN Oscine"
"Variant 2","Downloads","Typography","fontSize","12px"
"Variant 2","Downloads","Typography","fontWeight","700"
"Variant 2","Downloads","Typography","lineHeight","15.455999374389648px"
"Variant 2","Downloads","Typography","letterSpacing","0.12"
"Variant 2","Downloads","Typography","textAlign","LEFT"
"Variant 2","Downloads","Typography","color","#f9fafa"
"Variant 2","Live Streaming","Typography","content","Live Streaming"
"Variant 2","Live Streaming","Typography","fontFamily","DAZN Oscine"
"Variant 2","Live Streaming","Typography","fontSize","12px"
"Variant 2","Live Streaming","Typography","fontWeight","700"
"Variant 2","Live Streaming","Typography","lineHeight","15.455999374389648px"
"Variant 2","Live Streaming","Typography","letterSpacing","0.12"
"Variant 2","Live Streaming","Typography","textAlign","LEFT"
"Variant 2","Live Streaming","Typography","color","#f9fafa"
"Variant 2","Football","Typography","content","Football"
"Variant 2","Football","Typography","fontFamily","DAZN Oscine"
"Variant 2","Football","Typography","fontSize","12px"
"Variant 2","Football","Typography","fontWeight","700"
"Variant 2","Football","Typography","lineHeight","15.455999374389648px"
"Variant 2","Football","Typography","letterSpacing","0.12"
"Variant 2","Football","Typography","textAlign","LEFT"
"Variant 2","Football","Typography","color","#f9fafa"
